"Recorded Crime Offences Under Reservation (Number) by Type of Offence,"
"Garda Station and Year"

" ","Mountjoy, D.M.R. North Central Division",86
" ","Store Street, D.M.R. North Central Division",39
" ","Balbriggan, D.M.R. Northern Division",80
" ","Garristown, D.M.R. Northern Division",0
" ","Lusk, D.M.R. Northern Division",17
" ","Skerries, D.M.R. Northern Division",2
" ","Ballymun, D.M.R. Northern Division",49
" ","Dublin Airport, D.M.R. Northern Division",3
" ","Santry, D.M.R. Northern Division",24
" ","Coolock, D.M.R. Northern Division",80
" ","Malahide, D.M.R. Northern Division",6
" ","Swords, D.M.R. Northern Division",169
" ","Clontarf, D.M.R. Northern Division",18
" ","Howth, D.M.R. Northern Division",11
" ","Raheny, D.M.R. Northern Division",12
" ","Crumlin, D.M.R. Southern Division",21
" ","Sundrive Road, D.M.R. Southern Division",24
" ","Rathfarnham, D.M.R. Southern Division",25
" ","Tallaght, D.M.R. Southern Division",322
" ","Rathmines, D.M.R. Southern Division",15
" ","Terenure, D.M.R. Southern Division",9
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",9
" ","Dundrum, D.M.R. Eastern Division",28
" ","Cabinteely, D.M.R. Eastern Division",15
" ","Dun Laoghaire, D.M.R. Eastern Division",221
" ","Shankill, D.M.R. Eastern Division",21
" ","Blanchardstown, D.M.R. Western Division",776
" ","Cabra, D.M.R. Western Division",9
" ","Finglas, D.M.R. Western Division",60
" ","Ballyfermot, D.M.R. Western Division",37
" ","Clondalkin, D.M.R. Western Division",49
" ","Rathcoole, D.M.R. Western Division",6
" ","Lucan, D.M.R. Western Division",17
" ","Ronanstown, D.M.R. Western Division",124

"Statistics Under Reservation. "
"For further information see our "
"(http://www.cso.ie/en/methods/crime/statisticsunderreservationfaqs/) "
"Under Reservation FAQ page. "
"(http://www.cso.ie/en/methods/crime/recordedcrime/) See Background "
"Notes "

